Member ID,Member Gender,Member Age,Member Duration(Month),Averaged Spending Per Transaction,Maximun Spending Per Transaction,Minimun Spending Per Transaction,Averaged Number of Transaction,Averaged Purchasing Discount Rate,Averaged Price in Favorite Shop,Averaged Tax Rate in Favorite Shop,Number of Goods in Favorite Shop,Number of Favorite in  Favorite Shop
34c2dc93,0,31,130,260,260,260,0.041666667,0,608.1463415,0.113333295,41,1528
eb539b41,0,43,147,790,790,790,0.041666667,0,1086.551724,0.120247568,58,3205
68e97a4e,1,33,152,306,306,306,0.041666667,0.1,796.3636364,0.113332975,55,2347
4fecd6d8,0,34,128,1323,2295,351,0.083333333,0.1,2953.783784,0.113333334,37,550
ce2b841c,0,36,111,469,648,290,0.083333333,0.035816619,829.75,0.113333345,40,3000
2215e10d,0,61,111,1542.5,2500,900,0.166666667,0,1086.551724,0.120247568,58,3205
f4d3bc46,0,46,111,2585,2585,2585,0.041666667,0.061728395,1242.692308,0.114350441,26,4334
13441983,0,38,16,860,1140,390,0.375,0,589.8823529,0.116239291,17,603
c7ecd7e8,0,32,111,320,320,320,0.041666667,0,829.75,0.113333345,40,3000
e0dbad16,0,47,111,5002.5,7890,2115,0.083333333,0,1242.692308,0.114350441,26,4334
81ec8e0c,0,36,24,972.35,3391,30,0.333333333,0.094909091,829.75,0.113333345,40,3000
8a119916,0,47,117,2233.4,4338,968,0.208333333,0.044444444,1086.551724,0.120247568,58,3205
ad4e6f66,0,33,153,2699.9,2699.9,2699.9,0.041666667,0.02,1242.692308,0.114350441,26,4334
c383ecd2,0,41,100,885,885,885,0.041666667,0,829.75,0.113333345,40,3000
3f2759fc,0,48,122,435,570,300,0.083333333,0,656.5,0.113333342,20,1047
2cd6dffe,0,38,105,1200,1420,980,0.083333333,0,829.75,0.113333345,40,3000
526227f1,0,36,28,1485,1485,1485,0.041666667,0.1,640.0943396,0.116403826,53,1712
660b28f4,0,46,160,904.5,910,899,0.083333333,0,829.75,0.113333345,40,3000
9608d196,0,47,160,2657.333333,3280,1650,0.125,0.025,733.15625,0.119145296,64,407
cf3eba4c,0,49,154,680,680,680,0.041666667,0,733.15625,0.119145296,64,407
c8b8b24b,1,66,111,3740,3740,3740,0.041666667,0,1086.551724,0.120247568,58,3205
219d2caa,0,39,94,770,770,770,0.041666667,0,1242.692308,0.114350441,26,4334
5cf6b60f,0,51,110,2767.333333,3285,2230,0.125,0.04,1086.551724,0.120247568,58,3205
8a44a432,0,45,150,2050,2050,2050,0.041666667,0,819.9300699,0.113902349,143,3158
0aed2d37,0,47,125,300,300,300,0.041666667,0,819.9300699,0.113902349,143,3158
6e3e68af,1,41,117,1078.677778,2645,323,0.375,0.007692308,1242.692308,0.114350441,26,4334
e3db9dbd,0,45,111,1183.333333,2050,210,0.125,0,341.6,0.114350483,25,1746
010710b0,0,36,86,2163.1,4420.8,280,0.166666667,0.05,656.5,0.113333342,20,1047
31fc66dc,0,36,92,225,250,200,0.083333333,0,608.1463415,0.113333295,41,1528
0feceb67,0,51,133,575,575,575,0.041666667,0,364.0625,0.113333283,16,690
3b03501c,0,56,110,796,1603,150,0.125,0.131896112,796.3636364,0.113332975,55,2347
c882baed,0,43,67,1033,2097,340,0.125,0,796.3636364,0.113332975,55,2347
bc25606b,0,57,48,1439.055556,4545,300,0.75,0.052084621,1086.551724,0.120247568,58,3205
2a7bf8ec,0,45,154,178.5,207,150,0.083333333,0.285714286,1242.692308,0.114350441,26,4334
d3ae5bcf,0,59,145,495,495,495,0.041666667,0.1,1086.551724,0.120247568,58,3205
99f38beb,1,43,110,1000,1000,1000,0.041666667,0,1340,0.10897436,33,2862
c00b50cd,0,48,152,1166.425,2511,220,0.166666667,0.103125,829.75,0.113333345,40,3000
87836d42,1,40,21,420,420,420,0.047619048,0.192307692,341.6,0.114350483,25,1746
2f5bd5a4,0,46,110,410,410,410,0.041666667,0,733.15625,0.119145296,64,407
75f1c0a0,0,45,80,1045.171429,2102.4,68,0.291666667,0.033333333,1086.551724,0.120247568,58,3205
14b22a31,0,38,129,560,560,560,0.041666667,0,1242.692308,0.114350441,26,4334
de1f6476,0,44,7,1617.25,3560,585,0.571428571,0,608.1463415,0.113333295,41,1528
9adb51ab,0,45,22,2236,3482,990,0.090909091,0,1242.692308,0.114350441,26,4334
280947c8,0,48,157,390,390,390,0.041666667,0,1242.692308,0.114350441,26,4334
5c8a1f06,0,37,151,695,695,695,0.041666667,0,829.75,0.113333345,40,3000
264e976b,0,37,110,2103.7,3024,742.5,0.291666667,0.049225589,1242.692308,0.114350441,26,4334
e71b5d67,0,51,155,870,870,870,0.041666667,0,819.9300699,0.113902349,143,3158
4464faa6,0,56,152,750,750,750,0.041666667,0,1340,0.10897436,33,2862
69527fa2,0,39,111,340,340,340,0.041666667,0,1242.692308,0.114350441,26,4334
8bbfe476,0,44,36,1569.666667,4464,518,0.25,0.0291248,1242.692308,0.114350441,26,4334
cd6da853,0,61,108,1291.2,4196.7,225,0.916666667,0.012975645,608.1463415,0.113333295,41,1528
1bfdf5bb,1,48,80,793,1520,165,0.208333333,0,589.8823529,0.116239291,17,603
fcc95869,0,36,92,1765.6,3466.8,490,0.125,0.056481481,1002.307692,0.108974355,13,767
